"od_region","Year","fit","lwr","upr"
"Pacific Islands",2023,24497.2903503724,13231.9332294625,45353.7078901074
"Pacific Islands",2024,25456.2652447287,13299.4289220587,48725.5087423463
"South America",1990,78927.4892976949,32977.3365646538,188903.93269403
"South America",1991,89733.9282149543,38655.2525888262,208307.47010082
"South America",1992,101973.873216371,45286.5234265743,229619.543121
"South America",1993,115837.215202166,53029.293768378,253034.869451615
"South America",1994,131523.225553687,62060.0858443865,278735.657946413
"South America",1995,149288.392259438,72598.3812870189,306990.647288619
"South America",1996,169384.715279626,84880.5486377414,338018.33554128
"South America",1997,192120.792063268,99191.758945199,372111.545712274
"South America",1998,217880.858941861,115881.052381561,409662.04325563
"South America",1999,246999.087125543,135298.996999219,450916.491577569
"South America",2000,279787.485248597,157809.743757483,496046.917242534
"South America",2001,316698.434971302,183883.217741527,545443.461046317
"South America",2002,358263.335127509,214069.109829506,599584.953657778
"South America",2003,405065.004473664,248984.742634321,658986.796191876
"South America",2004,457773.276705821,289338.5326269,724260.163219276
"South America",2005,517157.997363014,335940.070122425,796131.268708307
"South America",2006,584017.340484103,389651.421258093,875336.866178674
"South America",2007,659229.527378808,451409.822324593,962725.107597667
"South America",2008,743807.325601716,522249.660947642,1059357.96418687
"South America",2009,838906.701261771,603285.558297687,1166552.79368487
"South America",2010,945866.478124268,695702.974850518,1285984.71873925
"South America",2011,1066314.19124471,800781.237329515,1419895.84851123
"South America",2012,1201983.55550717,919680.150085977,1570942.31899492
"South America",2013,1354758.91163126,1053364.47193604,1742389.98707729
"South America",2014,1526908.73442154,1202674.67282895,1938554.4037181
"South America",2015,1720867.62834469,1368077.61923688,2164632.5856398
"South America",2016,1939123.21992338,1549562.53079078,2426619.63446358
"South America",2017,2184238.92040004,1746757.58111908,2731288.93955267
"South America",2018,2458658.80979678,1958974.64062279,3085799.59006999
"South America",2019,2765481.73881395,2186046.94122674,3498501.8406886
"South America",2020,3107218.926936,2427480.87827636,3977295.7827642
"South America",2021,3486571.80002754,2683110.88179804,4530630.09777704
"South America",2022,3912561.5511177,2957674.03450409,5175735.29493125
"South America",2023,4394242.75997632,3255597.04563263,5931130.03942171
"South America",2024,4906366.68864147,3555972.11663627,6769578.97695266
"South Asia",1990,3133.5941639896,832.934169471415,11788.9417249159
"South Asia",1991,3696.19434979278,1028.26737564372,13286.2842827114
"South Asia",1992,4358.57446516578,1268.97299934583,14970.5087328008
"South Asia",1993,5136.32921564913,1564.90391531041,16858.4649532925
"South Asia",1994,6048.53151859364,1928.31687369596,18972.3660205802
"South Asia",1995,7121.48835901024,2375.50222163479,21349.4207606409
"South Asia",1996,8382.97791435588,2925.47894557514,24021.4747806919
"South Asia",1997,9865.38994486072,3601.46316377365,27023.9939542183
"South Asia",1998,11607.738120162,4432.24483600571,30399.8513736638
"South Asia",1999,13654.2362478871,5452.4576494193,34193.4187298035
"South Asia",2000,16054.1955968307,6703.31865906679,38449.1935069636
"South Asia",2001,18870.1379393508,8236.995164475,43229.6121024641
"South Asia",2002,22164.7857057616,10112.3340688627,48582.0308186859
"South Asia",2003,26021.3683883735,12404.9849577723,54583.8318311865
"South Asia",2004,30545.7156227338,15210.9668833633,61340.002253599
"South Asia",2005,35832.7367147678,18632.0845321412,68912.5802459158
"South Asia",2006,42012.4528155717,22799.9461559484,77414.4894688774
"South Asia",2007,49219.6167261012,27862.6449078696,86946.9025167837
"South Asia",2008,57625.8063217505,34003.5495621737,97658.4385156648
"South Asia",2009,67473.5725851863,41464.8930484434,109796.08682674
"South Asia",2010,78991.1404498503,50498.2597111309,123560.69902727
"South Asia",2011,92438.1612919913,61386.0967158365,139197.86596954
"South Asia",2012,108113.016780693,74437.7101153543,157022.890404732
"South Asia",2013,126358.354864227,89975.8550928857,177452.426848415
"South Asia",2014,147594.413495483,108330.81083946,201088.782833523
"South Asia",2015,172287.013245711,129772.051511248,228730.412962262
"South Asia",2016,201069.326935565,154540.328276212,261607.275494214
"South Asia",2017,234637.172536838,182719.214587986,301307.133243893
"South Asia",2018,273730.517588324,214211.254283368,349787.393336736
"South Asia",2019,319261.833376842,248907.802557311,409501.498964353
"South Asia",2020,372241.874754935,286745.61185026,483229.760438068
"South Asia",2021,433522.068639315,327588.960092155,573710.982031997
"South Asia",2022,504705.160534624,371923.793879368,684891.107431809
"South Asia",2023,587929.656940433,420589.439882724,821849.644171947
"South Asia",2024,677966.463945464,469193.546573345,979635.226425402
"Sub-Saharan Africa",1990,36.8731166994734,3.72022216596219,365.469231266013
"Sub-Saharan Africa",1991,47.1623604264529,5.12461793061819,434.039819379536
"Sub-Saharan Africa",1992,60.3277649159388,7.05943425438658,515.542618375022
"Sub-Saharan Africa",1993,77.2765781511521,9.73788969807529,613.24062152105
"Sub-Saharan Africa",1994,99.2946678207966,13.4735584530297,731.761478752132
"Sub-Saharan Africa",1995,127.461819974607,18.6229360462334,872.392812331275
"Sub-Saharan Africa",1996,162.934146980472,25.6307142313202,1035.77044372074
"Sub-Saharan Africa",1997,208.16049479779,35.2527090820605,1229.14785055515
"Sub-Saharan Africa",1998,266.33637252394,48.554639433896,1460.93275856335
"Sub-Saharan Africa",1999,340.954584574506,66.9049065807904,1737.54115629767
"Sub-Saharan Africa",2000,436.541238572089,92.1927208358601,2067.06398559753
"Sub-Saharan Africa",2001,559.044871115535,127.048359019499,2459.93864330525
"Sub-Saharan Africa",2002,715.896530739042,175.047375267258,2927.82363598261
"Sub-Saharan Africa",2003,916.635938871954,241.104825372854,3484.8802512862
"Sub-Saharan Africa",2004,1173.79473533219,332.056379471751,4149.27755005164
"Sub-Saharan Africa",2005,1503.25986635977,457.25060531112,4942.12626415308
"Sub-Saharan Africa",2006,1924.95460480249,629.375378879221,5887.504269946
"Sub-Saharan Africa",2007,2464.82011407297,865.933911384788,7015.9374923002
"Sub-Saharan Africa",2008,3156.07730189917,1190.86771106676,8364.34126393471
"Sub-Saharan Africa",2009,4039.44025593907,1636.11410555455,9973.06821443878
"Sub-Saharan Africa",2010,5170.63370454317,2246.52703265286,11900.7928762765
"Sub-Saharan Africa",2011,6619.67434686012,3082.44983862058,14215.9940153601
"Sub-Saharan Africa",2012,8472.16367278132,4223.24837718503,16995.81717385
"Sub-Saharan Africa",2013,10843.1048827263,5777.47750537405,20350.2174415114
"Sub-Saharan Africa",2014,13870.1866763473,7883.24234218038,24403.9279887864
